ID	sample
ZBTB40:TRIM63	TCGA-CD-A48C-01A
ZBTB40:FPGT-TNNI3K	TCGA-CD-A48C-01A
ZBTB40:GJA8	TCGA-CD-A48C-01A
ZBTB40:NBPF11	TCGA-CD-A48C-01A
ZBTB40:TMOD4	TCGA-CD-A48C-01A
ZBTB40:LCE1F	TCGA-CD-A48C-01A
ZBTB40:SHC1	TCGA-CD-A48C-01A
ZBTB40:CD1C	TCGA-CD-A48C-01A
ZBTB40:KCNT2	TCGA-CD-A48C-01A
ZBTB40:ESRRG	TCGA-CD-A48C-01A
ZBTB40:OR11L1	TCGA-CD-A48C-01A
ZBTB40:OR2AK2	TCGA-CD-A48C-01A
ZBTB40:OR2T1	TCGA-CD-A48C-01A
ZBTB40:TPO	TCGA-CD-A48C-01A
ZBTB40:CDKL4	TCGA-CD-A48C-01A
ZBTB40:LRPPRC	TCGA-CD-A48C-01A
ZBTB40:NRXN1	TCGA-CD-A48C-01A
ZBTB40:ZNF2	TCGA-CD-A48C-01A
ZBTB40:CNTNAP5	TCGA-CD-A48C-01A
ZBTB40:GYPC	TCGA-CD-A48C-01A
ZBTB40:LRP1B	TCGA-CD-A48C-01A
ZBTB40:MBD5	TCGA-CD-A48C-01A
ZBTB40:FAP	TCGA-CD-A48C-01A
ZBTB40:SCN2A	TCGA-CD-A48C-01A
ZBTB40:TTN	TCGA-CD-A48C-01A
ZBTB40:ZNF804A	TCGA-CD-A48C-01A
ZBTB40:DNAH7	TCGA-CD-A48C-01A
ZBTB40:CAPN10	TCGA-CD-A48C-01A
